t2m,ssrd,e,sp,tp,year
290.49652,15590040.0,0.0026904065,97816.734,0.002445759,2000
287.66013,11880966.0,0.002074142,97481.12,0.0032685406,2000
283.27222,7085030.0,0.0011383342,97367.8,0.00228548,2000
279.44247,3965284.0,0.00050852075,96635.81,0.0017009771,2000
277.70923,2170704.0,0.00057599694,97041.78,0.0059594363,2000
275.41553,3018036.0,0.00027731806,97193.75,0.001209143,2001
276.4565,5712058.0,0.0007607946,97726.7,0.0031137576,2001
279.06567,8890264.0,0.0012913989,96545.266,0.0026088243,2001
279.74054,15855326.0,0.0024298206,97300.375,0.0021766373,2001
287.05658,17813900.0,0.0031233542,97676.695,0.0034459701,2001
287.38687,22347036.0,0.003830541,97750.25,0.0016239323,2001
290.9472,15638066.0,0.0028295228,97548.63,0.0053566927,2001
291.29346,18169196.0,0.003137351,97686.25,0.0018543261,2001
284.5487,10128063.0,0.001805082,97392.84,0.0028421166,2001
286.1253,6183767.0,0.0012289062,97756.07,0.0029778956,2001
277.06012,3189664.0,0.0008618459,98148.68,0.0042782356,2001
273.50336,2464980.0,0.00059555005,98183.88,0.0032152676,2001
273.74036,3339804.0,0.00058784895,98340.64,0.003660812,2002
278.33026,6169036.0,0.0007603094,97362.14,0.002529346,2002
279.00363,7763687.0,0.0012573954,97753.66,0.0052002943,2002
281.29907,13947664.0,0.0021316716,97477.18,0.0043335776,2002
285.4326,19903434.0,0.003355804,97415.33,0.00097068306,2002
290.0056,19895904.0,0.0033001425,97644.836,0.0022352391,2002
290.30835,19307612.0,0.0035930453,97541.82,0.003043319,2002
290.9735,17591578.0,0.0030814856,97531.17,0.0020433352,2002
286.37738,8723325.0,0.0015950296,97854.89,0.00325439,2002
282.86264,6814512.0,0.0011281138,97283.984,0.0016301068,2002
280.43945,3673608.0,0.00047176983,96887.76,0.0024325748,2002
276.76196,2829164.0,0.00019502081,97448.36,0.0024652989,2002
272.813,3216000.0,0.00039886776,97522.734,0.003388699,2003
273.1941,8074110.0,0.0003824709,97942.805,0.00091098197,2003
279.87735,13093897.0,0.0015865546,98243.06,0.0012750642,2003
281.87698,17710756.0,0.002583643,97577.55,0.0019830202,2003
286.30267,19076520.0,0.0031963978,97760.47,0.002586626,2003
292.46692,22345576.0,0.0037893988,97655.32,0.001253103,2003
292.06763,20389620.0,0.0031629438,97679.06,0.0020228291,2003
294.56818,20565894.0,0.00301209,97775.19,0.0021175698,2003
287.34564,14332260.0,0.002044675,98040.805,0.001552446,2003
280.45947,6954047.0,0.000973979,97273.72,0.002466112,2003
279.99127,3860240.0,0.000592866,97572.016,0.0020299372,2003
275.6469,2998392.0,0.0004094299,97763.72,0.0019216264,2003
274.16696,2805684.0,0.00039460324,97020.28,0.00441828,2004
275.86847,6420336.0,0.0007145917,97919.21,0.0010166597,2004
277.2943,11010263.0,0.0013064397,97984.64,0.0016373777,2004
282.003,16009528.0,0.0024642292,97277.375,0.0017858607,2004
284.50604,20609858.0,0.003194659,97507.664,0.0021495349,2004
288.33817,20061756.0,0.0033033649,97823.45,0.0019830514,2004
289.8673,19038842.0,0.0032999646,97701.58,0.0027265493,2004
291.25732,15479684.0,0.0029588882,97345.57,0.003346034,2004
287.9759,12874743.0,0.0020502228,97991.58,0.0009191506,2004
283.8813,7009307.5,0.0010729907,97175.14,0.0025108573,2004
277.99786,3550712.0,0.0004970059,98049.77,0.001201646,2004
273.81674,2785048.0,0.00016651861,97844.28,0.0019941214,2004
275.39746,3270140.0,0.00037358422,98175.7,0.0014952525,2005
272.327,6752626.0,0.0004998334,97719.66,0.0017371577,2005
277.8584,10987842.0,0.0011408888,97578.164,0.0014631377,2005
282.29895,15422148.0,0.0023294566,97395.92,0.002578016,2005
285.40668,19573926.0,0.0032931585,97691.945,0.002831017,2005
290.19006,20874680.0,0.0036412235,97891.336,0.001770048,2005
291.106,18581890.0,0.0034794258,97577.08,0.002472861,2005
288.91733,15859638.0,0.0026323618,97786.39,0.002190401,2005
288.69196,12686697.0,0.002024224,97858.5,0.001423714,2005
285.8943,7875037.0,0.0010916041,97819.84,0.0017515798,2005
278.0606,4011484.0,0.0005419683,97681.58,0.0019210447,2005
274.34088,2228620.0,0.00029390957,97688.34,0.0024004155,2005
272.79193,4058072.0,0.00013868604,98219.26,0.0010093475,2006
274.03912,5384248.0,0.00047539733,97346.16,0.00248593,2006
275.8178,10665109.0,0.0010346407,97032.03,0.0032875938,2006
280.91357,15448310.0,0.0022882503,97470.83,0.0019272943,2006
285.80038,16241916.0,0.0029683234,97562.34,0.00380324,2006
289.55194,22339672.0,0.0038606497,98025.5,0.0015195408,2006
295.49548,23308060.0,0.0040918216,97922.25,0.0011154265,2006
288.0924,14055872.0,0.0024333755,97291.836,0.005266042,2006
290.06805,12605161.0,0.0021126317,97566.66,0.0013202145,2006
286.05438,7368266.0,0.0013473453,97426.13,0.0032178427,2006
280.63553,3587884.0,0.0007052319,97806.8,0.0029341795,2006
277.1155,2654328.0,0.0005091969,98346.3,0.0023396285,2006
277.97186,2680376.0,0.0006729858,97915.07,0.003167512,2007
278.1726,5283012.0,0.0008731084,97099.13,0.0040526534,2007
279.015,10560920.0,0.0015345486,97526.93,0.0031029661,2007
285.5003,20991056.0,0.0030350168,97981.16,7.935027e-05,2007
287.19464,17314298.0,0.003051688,97183.04,0.0032505314,2007
289.74915,18625316.0,0.0034824237,97318.04,0.0038728537,2007
289.0562,17937406.0,0.0034891106,97477.33,0.0035812147,2007
289.2535,15461440.0,0.0029087802,97573.06,0.0041772476,2007
285.696,10873929.0,0.0018192604,97990.86,0.0015189507,2007
282.53928,7560441.0,0.001001454,98284.17,0.0010857576,2007
277.26654,3504484.0,0.000568199,97935.125,0.0014584904,2007
274.67294,2954436.0,0.0003840821,98186.25,0.0028264856,2007
276.67963,3065820.0,0.0005546035,97811.6,0.0026539925,2008
276.8258,6304062.0,0.0006443178,98483.766,0.0028353934,2008
277.4639,9443731.0,0.0014528679,96767.08,0.004879726,2008
280.33868,13606288.0,0.0020396048,97104.53,0.003151695,2008
287.75568,20239796.0,0.00350889,97469.41,0.0022441028,2008
288.93976,19406208.0,0.003462242,97694.85,0.00290806,2008
290.17462,19581294.0,0.0035072546,97627.89,0.0024162673,2008
289.95825,14879770.0,0.00274623,97492.53,0.002610421,2008
285.25415,11192409.0,0.0018573683,97814.836,0.0027187357,2008
282.19995,6230288.5,0.0010154424,97728.086,0.0023812766,2008
278.44745,3279808.0,0.00057837367,97428.516,0.001998497,2008
274.14688,2540592.0,0.00021646637,97744.41,0.001858607,2008
272.05786,3991148.0,0.00018236507,97378.67,0.0017289313,2009
274.59174,4755034.0,0.00044880435,97379.54,0.0019985747,2009
277.5656,9926064.0,0.0013911529,97489.79,0.0026065768,2009
284.17343,16400846.0,0.0025377776,97370.06,0.0018502482,2009
286.5556,17994588.0,0.0029737428,97911.81,0.0017777118,2009
288.07892,20430150.0,0.0034566699,97675.125,0.0028830394,2009
290.6811,19978730.0,0.0035831938,97580.61,0.002479488,2009
291.7984,18987844.0,0.0031515183,97806.45,0.0013244025,2009
288.11182,11981661.0,0.0017369725,98070.42,0.0014250517,2009
282.64856,6767384.5,0.0008972902,97771.39,0.00150694,2009
280.73505,3195580.0,0.0008650627,96907.375,0.0044861566,2009
274.52945,2272456.0,0.0002781842,96755.875,0.003679417,2009
271.5414,3201580.0,0.00016447622,97337.03,0.0017723523,2010
274.24976,5201686.0,0.00048396364,96408.95,0.0033284859,2010
277.54803,10988539.0,0.0013246173,97676.51,0.001920685,2010
281.66455,17983698.0,0.0026110532,97861.39,0.0012403812,2010
283.63907,17000880.0,0.0028083632,97446.734,0.0032736056,2010
289.48224,20862184.0,0.0036896048,97601.6,0.0014974971,2010
292.59497,20925790.0,0.0035418859,97769.2,0.0021703166,2010
289.39185,14575098.0,0.0026119016,97520.34,0.0037903592,2010
285.74286,11502719.0,0.0018956037,97599.64,0.003060361,2010
282.16547,7763534.0,0.0012092358,97435.625,0.0015434318,2010
